iter	Passed	Remaining
403	12867	114529
404	12909	114587
405	12949	114631
406	12985	114635
407	13019	114621
408	13060	114673
409	13098	114695
410	13143	114771
411	13176	114750
412	13210	114736
413	13244	114722
414	13279	114719
415	13319	114754
416	13355	114757
417	13389	114735
418	13425	114743
419	13461	114743
420	13498	114752
421	13539	114793
422	13574	114793
423	13608	114771
424	13643	114764
425	13684	114811
426	13721	114819
427	13760	114844
428	13791	114800
429	13824	114774
430	13856	114738
431	13883	114666
432	13927	114729
433	13970	114793
434	14001	114749
435	14038	114757
436	14074	114751
437	14113	114775
438	14141	114711
439	14170	114652
440	14201	114612
441	14233	114577
442	14266	114547
443	14302	114546
444	14337	114542
445	14374	114548
446	14404	114497
447	14434	114446
448	14466	114411
449	14505	114428
450	14541	114430
451	14574	114405
452	14611	114410
453	14650	114432
454	14685	114417
455	14727	114458
456	14759	114423
457	14796	114434
458	14826	114378
459	14857	114334
460	14890	114311
461	14924	114290
462	14958	114271
463	14994	114265
464	15025	114229
465	15054	114168
466	15088	114151
467	15127	114169
468	15159	114129
469	15194	114122
470	15230	114115
471	15264	114093
472	15291	114024
473	15327	114016
474	15360	113990
475	15391	113952
476	15427	113943
477	15460	113913
478	15494	113897
479	15521	113827
480	15544	113726
481	15574	113671
482	15605	113629
483	15638	113605
484	15675	113605
485	15713	113612
486	15750	113614
487	15782	113585
488	15818	113574
489	15857	113594
490	15893	113582
491	15927	113562
492	15963	113560
493	16003	113580
494	16035	113543
495	16065	113497
496	16092	113427
497	16125	113397
498	16157	113358
499	16188	113321
500	16215	113247
501	16245	113199
502	16280	113187
503	16316	113178
504	16346	113128
505	16377	113090
506	16405	113024
507	16437	112990
508	16470	112966
509	16499	112907
510	16541	112939
511	16575	112922
512	16609	112898
513	16645	112892
514	16689	112934
515	16727	112941
516	16760	112915
517	16788	112849
518	16814	112777
519	16851	112775
520	16893	112805
521	16933	112821
522	16968	112810
523	17006	112813
524	17048	112847
525	17084	112834
526	17116	112800
527	17142	112724
528	17171	112667
529	17204	112640
530	17239	112623
