iter	RMSE
0	0.9628789467
1	0.9480636689
2	0.9340690423
3	0.9205095063
4	0.9081592405
5	0.8957644852
6	0.8835421696
7	0.8717029653
8	0.8602721874
9	0.8498534722
10	0.8386937985
11	0.8283298232
12	0.8183888735
13	0.8095003063
14	0.80114648
15	0.7916562224
16	0.7837939574
17	0.7754598283
18	0.7676691705
19	0.760458304
20	0.7524768677
21	0.7449713126
22	0.7386956888
23	0.7320990427
24	0.7259524213
25	0.7208162051
26	0.7153588463
27	0.7097614729
28	0.7042400369
29	0.6993451551
30	0.6946563311
31	0.6896433449
32	0.6844559129
33	0.6806850681
34	0.6757963309
35	0.6709983267
36	0.6669527598
37	0.6628878714
38	0.6591940146
39	0.655657188
40	0.6523239592
41	0.6486329894
42	0.6458595698
43	0.6427479588
44	0.639410923
45	0.6362501253
46	0.6329151504
47	0.6298051279
48	0.6265498971
49	0.6240506606
50	0.6213900261
51	0.6195147636
52	0.617747736
53	0.615213483
54	0.6134021363
55	0.6116792114
56	0.6097308761
57	0.607281235
58	0.6051462621
59	0.6034415162
60	0.6014756319
61	0.5995970545
62	0.5977598656
63	0.5957749471
64	0.5940730197
65	0.5930062766
66	0.5913867652
67	0.5895931612
68	0.5879629173
69	0.5868103874
70	0.5849809025
71	0.5838791192
72	0.5823164551
73	0.5807372823
74	0.5796368625
75	0.5784635118
76	0.5769785246
77	0.5758499617
78	0.574591892
79	0.5734779428
80	0.5722435374
81	0.5712853376
82	0.5701787086
83	0.5688841284
84	0.5680991843
85	0.5669717507
86	0.566177292
87	0.5652342934
88	0.5644648761
89	0.5632414984
90	0.5623093467
91	0.5616082609
92	0.5606554702
93	0.5595371286
94	0.5584049238
95	0.5574949666
96	0.5570784867
97	0.5559654694
98	0.5552183045
99	0.5544707488
100	0.55338716
101	0.5527461692
102	0.5521575153
103	0.5516227334
104	0.5510958527
105	0.5503132894
106	0.5494404756
107	0.5487931633
108	0.5481712352
109	0.547823385
110	0.5469589852
111	0.5461637447
112	0.5455067255
113	0.5449771444
114	0.5439485442
115	0.5428359284
116	0.5422347572
117	0.5418014505
118	0.5413150778
119	0.5407921571
120	0.5401919261
